title,company,experience,salary,location,skills,posted,job_url,scraped_at,search_text,extracted_skills,city,salary_min_lpa,salary_max_lpa,salary_mid_lpa,exp_min_yrs,exp_max_yrs,exp_mid_yrs,company_type
Data Analyst,Grid Dynamics,2-7 Yrs,Not disclosed,Hyderabad,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-grid-dynamics-hyderabad-2-to-7-years-120226500312,2026-04-10 13:06,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance  Data Analyst","gcp, git, mysql",Hyderabad,,,,2.0,7.0,4.5,Other
Data Analyst,Myglamm,2-4 Yrs,Not disclosed,Mumbai,"Data analysis, Excel, Analytical, Data collection, Market research, data visualization, Private equity, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-myglamm-mumbai-2-to-4-years-110325502392,2026-04-10 13:06,"Data analysis, Excel, Analytical, Data collection, Market research, data visualization, Private equity, SQL  Data Analyst","data analysis, data visualization, excel, sql",Mumbai,,,,2.0,4.0,3.0,Other
Data Analyst,Credit Wise Capital Pvt. LTD.,5-8 Yrs,Not disclosed,Mumbai,"Loans, Data analysis, digital analytics, NBFC, Underwriting, Consumer finance, Analytical, Manager Technology",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-credit-wise-capital-pvt-ltd-mumbai-5-to-8-years-081124502420,2026-04-10 13:06,"Loans, Data analysis, digital analytics, NBFC, Underwriting, Consumer finance, Analytical, Manager Technology  Data Analyst",data analysis,Mumbai,,,,5.0,8.0,6.5,Other
ETL & DWH Engineer/Data Analyst,Grazitti Interactive,8-13 Yrs,Not disclosed,Mohali,"SAS, Data modeling, MySQL, Datastage, Data Analyst, Informatica, SSIS, SQL",3+ weeks ago,https://www.naukri.com/job-listings-etl-dwh-engineer-data-analyst-grazitti-interactive-mohali-8-to-13-years-080725502253,2026-04-10 13:06,"SAS, Data modeling, MySQL, Datastage, Data Analyst, Informatica, SSIS, SQL  ETL & DWH Engineer/Data Analyst","data modeling, etl, mysql, sql",Mohali,,,,8.0,13.0,10.5,Other
Data Analyst,Grid Dynamics,2-7 Yrs,Not disclosed,Chennai,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-grid-dynamics-chennai-2-to-7-years-040226504680,2026-04-10 13:06,"Version control, GIT, GCP, MySQL, Cost management, Data processing, Data Analyst, Medical insurance  Data Analyst","gcp, git, mysql",Chennai,,,,2.0,7.0,4.5,Other
Engineer/Data Analyst,mycitynagpur,5-8 Yrs,Not disclosed,Nagpur,"Data Analyst, Data analysis, Data, Engineering",3+ weeks ago,https://www.naukri.com/job-listings-engineer-data-analyst-mycitynagpur-nagpur-5-to-8-years-311219500397,2026-04-10 13:06,"Data Analyst, Data analysis, Data, Engineering  Engineer/Data Analyst",data analysis,Nagpur,,,,5.0,8.0,6.5,Other
Data Analyst,Ledure Lighting,8-12 Yrs,5-10 Lacs PA,Noida(Block B Sector 58),"Power Bi, Dashboards, Data Analytics, Forecasting, Sales Analytics, Insights, Inventory Management, Tableau",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-ledure-lighting-noida-8-to-12-years-180326025145,2026-04-10 13:06,"Power Bi, Dashboards, Data Analytics, Forecasting, Sales Analytics, Insights, Inventory Management, Tableau  Data Analyst","data analysis, power bi, tableau",Noida(Block B Sector 58),5.0,10.0,7.5,8.0,12.0,10.0,Other
Data & Records Governance Analyst,Barclays,0-7 Yrs,Not disclosed,Pune,"remediation, Senior Analyst, Machine learning, data governance, Data quality, Risk management, Continuous improvement, Stakeholder management",3+ weeks ago,https://www.naukri.com/job-listings-data-records-governance-analyst-barclays-shared-services-pune-0-to-7-years-160226501507,2026-04-10 13:06,"remediation, Senior Analyst, Machine learning, data governance, Data quality, Risk management, Continuous improvement, Stakeholder management  Data & Records Governance Analyst","data governance, data quality, machine learning, stakeholder management",Pune,,,,0.0,7.0,3.5,Other
Data Governance Analyst,Barclays,0-8 Yrs,Not disclosed,Pune,"data cleansing, Analytical, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management, Operations",3+ weeks ago,https://www.naukri.com/job-listings-data-governance-analyst-barclays-shared-services-pune-0-to-8-years-190625502631,2026-04-10 13:06,"data cleansing, Analytical, Data quality, Business strategy, Assistant Vice President, Risk management, Stakeholder management, Operations  Data Governance Analyst","data analysis, data governance, data quality, stakeholder management",Pune,,,,0.0,8.0,4.0,Other
Data Analyst,Talent Corner HR Services,1-2 Yrs,3-5 Lacs PA,"Mumbai, Mumbai (All Areas)","Data Analysis, Data Visualization, Data Analytics, Analysis, Analytics, Data",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-mumbai-mumbai-all-areas-1-to-2-years-170326012194,2026-04-10 13:06,"Data Analysis, Data Visualization, Data Analytics, Analysis, Analytics, Data  Data Analyst","data analysis, data visualization",Mumbai,3.0,5.0,4.0,1.0,2.0,1.5,Other
Data Analyst,Lorven Technologies,3-8 Yrs,Not disclosed,Chennai,"HP data protector, Analytical, HIPAA, Agile, Healthcare, Data processing, data visualization, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-lorventech-solutions-india-pvt-ltd-chennai-3-to-8-years-090326500535,2026-04-10 13:06,"HP data protector, Analytical, HIPAA, Agile, Healthcare, Data processing, data visualization, Analytics  Data Analyst","data analysis, data visualization",Chennai,,,,3.0,8.0,5.5,Other
Data Analyst,GE VERNOVA,2-5 Yrs,Not disclosed,Noida,"data analyst, forecasting, product manager, ai, cybersecurity, artificial intelligence, change management, deep learning",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-ge-renewable-energy-technologies-private-limited-noida-2-to-5-years-230326916637,2026-04-10 13:06,"data analyst, forecasting, product manager, ai, cybersecurity, artificial intelligence, change management, deep learning  Data Analyst",deep learning,Noida,,,,2.0,5.0,3.5,Other
Data Analyst,NMD,1-5 Yrs,Not disclosed,Gurugram,"cd, continuous integration, python, tensorflow, pytorch, keras, machine learning, Machine",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-nmd-gurugram-1-to-5-years-230326501534,2026-04-10 13:06,"cd, continuous integration, python, tensorflow, pytorch, keras, machine learning, Machine  Data Analyst","keras, machine learning, python, pytorch, tensorflow",Gurugram,,,,1.0,5.0,3.0,Other
Data Analyst Role with a D2C Brand - Food Industry,Zigme,2-7 Yrs,Not disclosed,Mumbai,"Automation, Operations Analyst, VLOOKUP, Analytical, Advanced Excel, Data Analyst, Operation Executive, Macros",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-role-with-a-d2c-brand-food-industry-zigme-make-dreams-work-mumbai-2-to-7-years-190326502745,2026-04-10 13:06,"Automation, Operations Analyst, VLOOKUP, Analytical, Advanced Excel, Data Analyst, Operation Executive, Macros  Data Analyst Role with a D2C Brand - Food Industry","data analysis, excel",Mumbai,,,,2.0,7.0,4.5,Other
Data Analyst,Grapes Idmr,2-4 Yrs,Not disclosed,Thrissur,"Business objects, SAS, Database design, Process improvement, XML, Javascript, Data collection, SPSS",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-grapes-idmr-thrissur-2-to-4-years-190226500453,2026-04-10 13:06,"Business objects, SAS, Database design, Process improvement, XML, Javascript, Data collection, SPSS  Data Analyst",,Thrissur,,,,2.0,4.0,3.0,Other
Data Analyst,Vensure,6-10 Yrs,Not disclosed,"Noida, Hyderabad, Thiruvananthapuram","sigma, Power Bi, ETL, SQL, Azure Data Factory, Data analysis, Microsoft Azure, Six sigma",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-vensure-noida-hyderabad-thiruvananthapuram-6-to-10-years-040226021702,2026-04-10 13:06,"sigma, Power Bi, ETL, SQL, Azure Data Factory, Data analysis, Microsoft Azure, Six sigma  Data Analyst","azure, data analysis, etl, power bi, sql",Noida,,,,6.0,10.0,8.0,Other
Data Analyst,Guidehouse,3-8 Yrs,Not disclosed,Thiruvananthapuram,"Process automation, SAN, Backend, Data analysis, Staffing, Process improvement, Resource management, Macros",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-guidehouse-thiruvananthapuram-3-to-8-years-291225502535,2026-04-10 13:06,"Process automation, SAN, Backend, Data analysis, Staffing, Process improvement, Resource management, Macros  Data Analyst",data analysis,Thiruvananthapuram,,,,3.0,8.0,5.5,Other
Data Analyst,Madison Logic,2-7 Yrs,Not disclosed,Pune,"business intelligence reporting, Cloud computing, Data modeling, MySQL, Wellness, market data, Data mining, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-madison-logic-pune-2-to-7-years-280126506716,2026-04-10 13:06,"business intelligence reporting, Cloud computing, Data modeling, MySQL, Wellness, market data, Data mining, SQL  Data Analyst","data modeling, mysql, power bi, reporting, sql",Pune,,,,2.0,7.0,4.5,Other
Data Analyst,anblicks,3-8 Yrs,Not disclosed,Hyderabad,"Computer science, Automation, Data analysis, Linux, Shell scripting, Workflow, Data Analyst, Data quality",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-anblicks-hyderabad-3-to-8-years-270226504229,2026-04-10 13:06,"Computer science, Automation, Data analysis, Linux, Shell scripting, Workflow, Data Analyst, Data quality  Data Analyst","data analysis, data quality",Hyderabad,,,,3.0,8.0,5.5,Other
Data Analyst,Mypcot Infotech,2-7 Yrs,Not disclosed,Mumbai,"data analysis tools, data analysis, design, communication and interpersonal skills, collection, data collection, data analyst, Collections",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-nutech-contracts-mumbai-2-to-7-years-270226502091,2026-04-10 13:06,"data analysis tools, data analysis, design, communication and interpersonal skills, collection, data collection, data analyst, Collections  Data Analyst","communication, data analysis",Mumbai,,,,2.0,7.0,4.5,Other
Data Analyst - Distribution (PSS07880),PSS Global,8-15 Yrs,Not disclosed,Mumbai,"Supply chain, Sales, Business Analyst, Business analysis, Analytical, Dms, Oracle, Information technology",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-distribution-pss07880-pss-global-net-mumbai-8-to-15-years-270126501304,2026-04-10 13:06,"Supply chain, Sales, Business Analyst, Business analysis, Analytical, Dms, Oracle, Information technology  Data Analyst - Distribution (PSS07880)",data analysis,Mumbai,,,,8.0,15.0,11.5,Other
Data Analyst,Xylem Learning App,1-4 Yrs,Not disclosed,Kozhikode,"Computer science, Analytical skills, Data analysis, Data validation, Manager Quality Assurance, data security, data governance, Data quality",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-xlmylearning-llc-kozhikode-1-to-4-years-250326500957,2026-04-10 13:06,"Computer science, Analytical skills, Data analysis, Data validation, Manager Quality Assurance, data security, data governance, Data quality  Data Analyst","data analysis, data governance, data quality",Kozhikode,,,,1.0,4.0,2.5,Other
Reliability Data Analyst,Pinnacle Art,3-8 Yrs,Not disclosed,Hyderabad,"Mining, Technical writing, Fixed assets, Database management, Management systems, Engineering projects, Data Analyst, MS Office",3+ weeks ago,https://www.naukri.com/job-listings-reliability-data-analyst-pinnacleart-hyderabad-3-to-8-years-250226502169,2026-04-10 13:06,"Mining, Technical writing, Fixed assets, Database management, Management systems, Engineering projects, Data Analyst, MS Office  Reliability Data Analyst",,Hyderabad,,,,3.0,8.0,5.5,Other
Data Analyst,Prasino Automation And Systems,2-5 Yrs,Not disclosed,Pune,"excel, word, powerpoint, ms office, communication skills, Office, Data, Microsoft",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-prasino-automation-and-systems-pune-2-to-5-years-240326504210,2026-04-10 13:06,"excel, word, powerpoint, ms office, communication skills, Office, Data, Microsoft  Data Analyst","communication, excel",Pune,,,,2.0,5.0,3.5,Other
Data Analyst,Guidehouse,1-6 Yrs,Not disclosed,Chennai,"Process automation, MIS reporting, SAN, Backend, Data analysis, Excel, Staffing, Resource management",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-guidehouse-chennai-1-to-6-years-240226505302,2026-04-10 13:06,"Process automation, MIS reporting, SAN, Backend, Data analysis, Excel, Staffing, Resource management  Data Analyst","data analysis, excel, reporting",Chennai,,,,1.0,6.0,3.5,Other
Data Analyst,anblicks,2-4 Yrs,Not disclosed,Hyderabad,"Automation, Data analysis, Linux, Shell scripting, Data Analyst, Data quality, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-anblicks-hyderabad-2-to-4-years-230226504034,2026-04-10 13:06,"Automation, Data analysis, Linux, Shell scripting, Data Analyst, Data quality, SQL, Python  Data Analyst","data analysis, data quality, python, sql",Hyderabad,,,,2.0,4.0,3.0,Other
Data Analyst,anblicks,3-6 Yrs,Not disclosed,Hyderabad,"Data analysis, Automation, Linux, Analytical, Data quality, Operations, Analytics, SQL",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-anblicks-hyderabad-3-to-6-years-230226503823,2026-04-10 13:06,"Data analysis, Automation, Linux, Analytical, Data quality, Operations, Analytics, SQL  Data Analyst","data analysis, data quality, sql",Hyderabad,,,,3.0,6.0,4.5,Other
"Data Analyst (Python,ML exp)",Han Digital Solution,1-2 Yrs,Not disclosed,"Vijayawada, Visakhapatnam, Guntur, Nellore","digital, algorithms, python, data analysis, business requirements, natural language processing, bi, power bi",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-python-ml-exp-han-digital-solution-p-vijayawada-visakhapatnam-guntur-nellore-1-to-2-years-221125501748,2026-04-10 13:06,"digital, algorithms, python, data analysis, business requirements, natural language processing, bi, power bi  Data Analyst (Python,ML exp)","data analysis, power bi, python",Vijayawada,,,,1.0,2.0,1.5,Other
Data Analyst,Mantle Solutions,1-3 Yrs,Not disclosed,Kochi,"Computer science, Data analysis, Social marketing, Analytical, Data structures, power bi, data visualization, MS Office",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-mantle-solutions-pvt-ltd-kochi-1-to-3-years-220126500190,2026-04-10 13:06,"Computer science, Data analysis, Social marketing, Analytical, Data structures, power bi, data visualization, MS Office  Data Analyst","data analysis, data visualization, power bi",Kochi,,,,1.0,3.0,2.0,Other
Data Analyst,Vaidyaratnam Oushadhasala,5-7 Yrs,3-4 Lacs PA,Thrissur(Thaikkattussery),"Advanced Excel, Sales Analytics, Dsr, MIS, Data, Data analysis, Analytics, Excel",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-vaidyaratnam-oushadhasala-thrissur-5-to-7-years-200326005548,2026-04-10 13:06,"Advanced Excel, Sales Analytics, Dsr, MIS, Data, Data analysis, Analytics, Excel  Data Analyst","data analysis, excel",Thrissur(Thaikkattussery),3.0,4.0,3.5,5.0,7.0,6.0,Other
Data Analyst,Logic Planet,3-5 Yrs,Not disclosed,Nagpur,"project management, language teaching, data analysis, project scheduling, program management, business analysis, teaching, excel",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-logicplanet-it-services-nagpur-3-to-5-years-200226505345,2026-04-10 13:06,"project management, language teaching, data analysis, project scheduling, program management, business analysis, teaching, excel  Data Analyst","data analysis, excel",Nagpur,,,,3.0,5.0,4.0,Other
Data Analyst,Cornerstone India,5-7 Yrs,Not disclosed,Hyderabad,"Data analysis, Enterprise applications, Process improvement, data governance, Data quality, data visualization, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-cornerstone-india-hyderabad-5-to-7-years-200226500899,2026-04-10 13:06,"Data analysis, Enterprise applications, Process improvement, data governance, Data quality, data visualization, SQL, Python  Data Analyst","data analysis, data governance, data quality, data visualization, python, sql",Hyderabad,,,,5.0,7.0,6.0,Other
Data Analyst ( CCLF),Bandi Informatics,1-2 Yrs,Not disclosed,Chennai,"data analysis, analytical, interpretation, process improvement, problem solving, Data, Improvement, Analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-cclf-bandi-informatics-chennai-1-to-2-years-200126505029,2026-04-10 13:06,"data analysis, analytical, interpretation, process improvement, problem solving, Data, Improvement, Analysis  Data Analyst ( CCLF)","data analysis, problem solving",Chennai,,,,1.0,2.0,1.5,Other
Data Analyst & ETL Developer,Copeland,4-5 Yrs,Not disclosed,Pune,"Automation, Process optimization, project support, Business analysis, Data modeling, power bi, Test cases, microsoft",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-etl-developer-copeland-pune-4-to-5-years-190326500354,2026-04-10 13:06,"Automation, Process optimization, project support, Business analysis, Data modeling, power bi, Test cases, microsoft  Data Analyst & ETL Developer","data modeling, etl, power bi",Pune,,,,4.0,5.0,4.5,Other
Data Analyst,Stalwart Themius,5-7 Yrs,Not disclosed,Ahmedabad,"Business process, Data analysis, Process analysis, Analytical, data governance, power bi, Data Analyst, data visualization",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-stalwart-themius-ahmedabad-5-to-7-years-190226503509,2026-04-10 13:06,"Business process, Data analysis, Process analysis, Analytical, data governance, power bi, Data Analyst, data visualization  Data Analyst","data analysis, data governance, data visualization, power bi",Ahmedabad,,,,5.0,7.0,6.0,Other
Data Analyst,Cornerstone,7-12 Yrs,Not disclosed,Pune,"Data analysis, Enterprise applications, Process improvement, data governance, Data quality, Data Analyst, SQL, Data extraction",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-cornerstone-on-demand-pune-7-to-12-years-190226501887,2026-04-10 13:06,"Data analysis, Enterprise applications, Process improvement, data governance, Data quality, Data Analyst, SQL, Data extraction  Data Analyst","data analysis, data governance, data quality, sql",Pune,,,,7.0,12.0,9.5,Other
Data Analyst,Mobilestyx Consulting Solutions,1-6 Yrs,Not disclosed,Mumbai,"Computer science, Analytical skills, SQL queries, Data validation, tableau, data visualization, Management, Information technology",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-mobilestyx-consulting-solutions-mumbai-1-to-6-years-181225503965,2026-04-10 13:06,"Computer science, Analytical skills, SQL queries, Data validation, tableau, data visualization, Management, Information technology  Data Analyst","data analysis, data visualization, sql, tableau",Mumbai,,,,1.0,6.0,3.5,Other
Data Analyst,anblicks,3-6 Yrs,Not disclosed,Hyderabad,"Automation, Data analysis, Linux, Shell scripting, Data quality, Analytics, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-anblicks-hyderabad-3-to-6-years-180226501237,2026-04-10 13:06,"Automation, Data analysis, Linux, Shell scripting, Data quality, Analytics, SQL, Python  Data Analyst","data analysis, data quality, python, sql",Hyderabad,,,,3.0,6.0,4.5,Other
Data Analyst,Isoft India Technologies,3-5 Yrs,Not disclosed,Noida,"Data analysis, tableau, Analytical, power bi, Data Analyst, data visualization, SQL, Python",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-isoft-india-technologies-noida-3-to-5-years-171125501841,2026-04-10 13:06,"Data analysis, tableau, Analytical, power bi, Data Analyst, data visualization, SQL, Python  Data Analyst","data analysis, data visualization, power bi, python, sql, tableau",Noida,,,,3.0,5.0,4.0,Other
Data Analyst,Vivre Panels,1-2 Yrs,"50,000-3 Lacs PA",Kolkata,"Power Bi, Advanced Excel, SQL, Data analysis, Data, Bi, Excel",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-vivre-panels-kolkata-1-to-2-years-170326042207,2026-04-10 13:06,"Power Bi, Advanced Excel, SQL, Data analysis, Data, Bi, Excel  Data Analyst","data analysis, excel, power bi, sql",Kolkata,50000.0,3.0,25001.5,1.0,2.0,1.5,Other
Data Analyst,anblicks,3-6 Yrs,Not disclosed,Hyderabad,"Computer science, Data analysis, Automation, Linux, Analytical, Workflow, Data quality, Operations",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-anblicks-hyderabad-3-to-6-years-170226501352,2026-04-10 13:06,"Computer science, Data analysis, Automation, Linux, Analytical, Workflow, Data quality, Operations  Data Analyst","data analysis, data quality",Hyderabad,,,,3.0,6.0,4.5,Other
Data Analyst,Datametica,4-7 Yrs,Not disclosed,Hybrid - Pune,"Linux, SQL, Python, Hive, Hadoop, Analysts, Hdfs, Data",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-datametica-pune-4-to-7-years-160326020209,2026-04-10 13:06,"Linux, SQL, Python, Hive, Hadoop, Analysts, Hdfs, Data  Data Analyst","hadoop, hive, python, sql",Pune,,,,4.0,7.0,5.5,Other
Data Analyst,Mittal Infocom,2-7 Yrs,Not disclosed,Amod,"Email marketing, Campaign management, Search engine marketing, Social media, Brand awareness, Data Analyst, Digital marketing, Marketing strategy",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-mittal-infocom-pvt-ltd-amod-2-to-7-years-151225503000,2026-04-10 13:06,"Email marketing, Campaign management, Search engine marketing, Social media, Brand awareness, Data Analyst, Digital marketing, Marketing strategy  Data Analyst",,Amod,,,,2.0,7.0,4.5,Other
Data Analyst,Squircle IT,3-8 Yrs,Not disclosed,Gurugram,"Data analysis, Excel, query, Data collection, Data Analyst, Management, Powerpoint, Analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-squircle-it-consulting-services-pvt-ltd-gurugram-3-to-8-years-140126503761,2026-04-10 13:06,"Data analysis, Excel, query, Data collection, Data Analyst, Management, Powerpoint, Analysis  Data Analyst","data analysis, excel",Gurugram,,,,3.0,8.0,5.5,Other
Data Analyst,RheinBrcke IT Consulting,4-9 Yrs,Not disclosed,Chennai,"SQL queries, Analytical, SSRS, data governance, Performance optimization, power bi, Data Analyst, SSIS",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-rheinbrcke-it-consulting-chennai-4-to-9-years-140126501030,2026-04-10 13:06,"SQL queries, Analytical, SSRS, data governance, Performance optimization, power bi, Data Analyst, SSIS  Data Analyst","data analysis, data governance, power bi, sql",Chennai,,,,4.0,9.0,6.5,Other
Data Analyst (CC),Bizaccounting Support,3-7 Yrs,Not disclosed,Remote,"Data Analysis, insurance, python, tableau dashboards, azure sql, data pipelines, health insurance, call center",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-cc-bizaccounting-support-private-limited-gandhinagar-3-to-7-years-130326929825,2026-04-10 13:06,"Data Analysis, insurance, python, tableau dashboards, azure sql, data pipelines, health insurance, call center  Data Analyst (CC)","azure, data analysis, python, sql, tableau",Remote,,,,3.0,7.0,5.0,Other
Data Analyst,Payoneer,1-3 Yrs,Not disclosed,Gurugram,"python, data analysis, sql queries, data validation, bi, data processing, power bi, business analysis",3 weeks ago,https://www.naukri.com/job-listings-data-analyst-payoneer-gurugram-1-to-3-years-130326500049,2026-04-10 13:06,"python, data analysis, sql queries, data validation, bi, data processing, power bi, business analysis  Data Analyst","data analysis, power bi, python, sql",Gurugram,,,,1.0,3.0,2.0,Other
Data Analyst,Qualminds,2-5 Yrs,Not disclosed,Hyderabad,"Backend, Excel, Analytical, Machine learning, Agile, Server management, Manager Quality Control, MS Office",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-qualminds-technologies-pvt-ltd-hyderabad-2-to-5-years-130226505207,2026-04-10 13:06,"Backend, Excel, Analytical, Machine learning, Agile, Server management, Manager Quality Control, MS Office  Data Analyst","data analysis, excel, machine learning",Hyderabad,,,,2.0,5.0,3.5,Other
Data Analyst,Barclaycard Payments,3-5 Yrs,Not disclosed,Pune,"hive, continuous integration, scala, pyspark, ci/cd, bitbucket, distributed computing, control-m",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-barclaycard-payments-pune-3-to-5-years-130226500334,2026-04-10 13:06,"hive, continuous integration, scala, pyspark, ci/cd, bitbucket, distributed computing, control-m  Data Analyst","hive, scala",Pune,,,,3.0,5.0,4.0,Other
Inviting Data Analysts,Fusemachines,10-15 Yrs,Not disclosed,Pune,"Data analysis, Manager Quality Assurance, GIT, Data modeling, Analytical, Diversity and Inclusion, power bi, data integrity",3+ weeks ago,https://www.naukri.com/job-listings-inviting-data-analysts-fusemachines-pune-10-to-15-years-121125501795,2026-04-10 13:06,"Data analysis, Manager Quality Assurance, GIT, Data modeling, Analytical, Diversity and Inclusion, power bi, data integrity  Inviting Data Analysts","data analysis, data modeling, git, power bi",Pune,,,,10.0,15.0,12.5,Other
Data Analyst,Estalvis Advisors,2-4 Yrs,Not disclosed,Kolkata,"Supply chain, Data analysis, Automation, Data modeling, VLOOKUP, Analytical, Trend analysis, Data quality",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-estalvis-advisors-private-limited-kolkata-2-to-4-years-111225500114,2026-04-10 13:06,"Supply chain, Data analysis, Automation, Data modeling, VLOOKUP, Analytical, Trend analysis, Data quality  Data Analyst","data analysis, data modeling, data quality",Kolkata,,,,2.0,4.0,3.0,Other
Data Analyst,Csk Technologies,1-4 Yrs,Not disclosed,Noida,"Data analysis, Excel, Analytical, Data collection, data visualization, Digital marketing, Operations, CRM",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-csk-technologies-opc-pvt-ltd-noida-1-to-4-years-110326502600,2026-04-10 13:06,"Data analysis, Excel, Analytical, Data collection, data visualization, Digital marketing, Operations, CRM  Data Analyst","data analysis, data visualization, excel",Noida,,,,1.0,4.0,2.5,Other
Data Analyst,Algoleap Technologies,5-10 Yrs,Not disclosed,Hyderabad,"digital analytics, design, google analytics, engineering, tracking, communication skills, sql, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-algoleap-hyderabad-5-to-10-years-110326500566,2026-04-10 13:06,"digital analytics, design, google analytics, engineering, tracking, communication skills, sql, Analytics  Data Analyst","communication, data analysis, sql",Hyderabad,,,,5.0,10.0,7.5,Other
Procurement Data Analyst,Davies Group,3-7 Yrs,Not disclosed,Pune,"Procurement, Automation, Financial reporting, Analytical, Reconciliation, Data quality, Spend analysis, Continuous improvement",3+ weeks ago,https://www.naukri.com/job-listings-procurement-data-analyst-davies-pune-3-to-7-years-100326502179,2026-04-10 13:06,"Procurement, Automation, Financial reporting, Analytical, Reconciliation, Data quality, Spend analysis, Continuous improvement  Procurement Data Analyst","data analysis, data quality, reporting",Pune,,,,3.0,7.0,5.0,Other
Data Analyst,Marketsof1 Analytical Marketing Services,1-3 Yrs,Not disclosed,Chennai,"Pandas, Numpy, Python, automation scripting, Power Bi, Advanced Excel, SQL, Bi",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-marketsof1-analytical-marketing-services-chennai-1-to-3-years-100326017977,2026-04-10 13:06,"Pandas, Numpy, Python, automation scripting, Power Bi, Advanced Excel, SQL, Bi  Data Analyst","excel, numpy, pandas, power bi, python, sql",Chennai,,,,1.0,3.0,2.0,Other
Data Analyst,Moris Media,2-3 Yrs,Not disclosed,Noida,"Data analysis, Data management, Analytical, Trend analysis, Data collection, Strategic planning, Data quality, Business intelligence",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-moris-media-noida-2-to-3-years-090326501673,2026-04-10 13:06,"Data analysis, Data management, Analytical, Trend analysis, Data collection, Strategic planning, Data quality, Business intelligence  Data Analyst","data analysis, data quality, power bi",Noida,,,,2.0,3.0,2.5,Other
Insight & Data Analyst,Oliver Agency,5-10 Yrs,Not disclosed,Mumbai,"Automation, Analytical, Data Analyst, Data quality, FMCG, Digital marketing, Econometrics, Analytics",3+ weeks ago,https://www.naukri.com/job-listings-insight-data-analyst-oliver-seapac-mumbai-5-to-10-years-090326500073,2026-04-10 13:06,"Automation, Analytical, Data Analyst, Data quality, FMCG, Digital marketing, Econometrics, Analytics  Insight & Data Analyst","data analysis, data quality",Mumbai,,,,5.0,10.0,7.5,Other
Data Analyst,Weather Risk Management Services,3-4 Yrs,Not disclosed,Gurugram,"matlab, project management, python, modeling, data analysis, statistical techniques, software testing, management skills",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-wrms-gurugram-3-to-4-years-070126500021,2026-04-10 13:06,"matlab, project management, python, modeling, data analysis, statistical techniques, software testing, management skills  Data Analyst","data analysis, python",Gurugram,,,,3.0,4.0,3.5,Other
